RightID,LeftID,ROI
23,30,Accumbens-Area
31,32,Amygdala
36,37,Caudate
38,39,Cerebellum-Exterior
40,41,Cerebellum-White-Matter
44,45,Cerebral-White-Matter
47,48,Hippocampus
49,50,Inf-Lat-Ventricle
51,52,Lateral-Ventricle
55,56,Pallidum
57,58,Putamen
59,60,Thalamus-Proper
61,62,Ventral-DC
76,75,Basal-Forebrain
100,101,ACgG-anterior-cingulate-gyrus
102,103,AIns-anterior-insula
104,105,AOrG-anterior-orbital-gyrus
106,107,AnG-angular-gyrus
108,109,Calc-calcarine-cortex
112,113,CO-central-operculum
114,115,Cun-cuneus
116,117,Ent-entorhinal-area
118,119,FO-frontal-operculum
120,121,FRP-frontal-pole
122,123,FuG-fusiform-gyrus
124,125,GRe-gyrus-rectus
128,129,IOG-inferior-occipital-gyrus
132,133,ITG-inferior-temporal-gyrus
134,135,LiG-lingual-gyrus
136,137,LOrG-lateral-orbital-gyrus
138,139,MCgG-middle-cingulate-gyrus
140,141,MFC-medial-frontal-cortex
142,143,MFG-middle-frontal-gyrus
144,145,MOG-middle-occipital-gyrus
146,147,MOrG-medial-orbital-gyrus
148,149,MPoG-postcentral-gyrus
150,151,MPrG-precentral-gyrus
152,153,MSFG-superior-frontal-gyrus
154,155,MTG-middle-temporal-gyrus
156,157,OCP-occipital-pole
160,161,OFuG-occipital-fusiform-gyrus
162,163,OpIFG-opercular-IFG
164,165,OrIFG-orbital-IFG
166,167,PCgG-posterior-cingulate-gyrus
168,169,PCu-precuneus
170,171,PHG-parahippocampal-gyrus
172,173,PIns-posterior-insula
174,175,PO-parietal-operculum
176,177,PoG-postcentral-gyrus
178,179,POrG-posterior-orbital-gyrus
180,181,PP-planum-polare
182,183,PrG-precentral-gyrus
184,185,PT-planum-temporale
186,187,SCA-subcallosal-area
190,191,SFG-superior-frontal-gyrus
192,193,SMC-supplementary-motor-cortex
194,195,SMG-supramarginal-gyrus
196,197,SOG-superior-occipital-gyrus
198,199,SPL-superior-parietal-lobule
200,201,STG-superior-temporal-gyrus
202,203,TMP-temporal-pole
204,205,TrIFG-triangular-IFG
206,207,TTG-transverse-temporal-gyrus